book_id_title,book_id,book_title,book_series,book_series_uri,isbn,isbn13,year_first_published,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution
45023611,45023611,The Roommate,The Roommate #1,/series/311670-the-roommate,0349427526,9780349427522,,Rosie Danan,325,"['Romance', 'Contemporary', 'Romance > Contemporary Romance', 'Adult', 'Fiction', 'Womens Fiction > Chick Lit', 'New Adult', 'Audiobook', 'Adult Fiction', 'Humor']",40645,5560,3.7,"{'5 Stars': 8454, '4 Stars': 16217, '3 Stars': 12083, '2 Stars': 3067, '1 Star': 824}"
1087204,1087204,"Ouran High School Host Club, Vol. 1",Ouran High School Host Club #1,/series/53423-ouran-high-school-host-club,3551787115,9781421544014,2003,Bisco Hatori,178,"['Sequential Art > Manga', 'Romance', 'Sequential Art > Graphic Novels', 'Young Adult', 'Sequential Art > Comics', 'Humor', 'Fiction', 'Humor > Comedy', 'Manga > Shojo', 'Media Tie In > Anime']",159159,1507,4.37,"{'5 Stars': 97788, '4 Stars': 35181, '3 Stars': 17782, '2 Stars': 4863, '1 Star': 3545}"
52397,52397,Parable of the Sower,Earthseed #1,/series/57804-earthseed,1538732181,9781538732182,1993,Octavia E. Butler,345,"['Fiction', 'Science Fiction', 'Science Fiction > Dystopia', 'Fantasy', 'Apocalyptic > Post Apocalyptic', 'Speculative Fiction', 'Science Fiction Fantasy', 'Classics', 'Novels', 'Audiobook']",102781,10316,4.18,"{'5 Stars': 44869, '4 Stars': 38190, '3 Stars': 14729, '2 Stars': 3458, '1 Star': 1535}"
33413128,33413128,Beartown,Beartown #1,/series/214081-beartown,1501160761,9781501160769,2016,Fredrik Backman,432,"['Contemporary', 'Audiobook', 'Sports > Sports', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Book Club', 'Realistic Fiction', 'Cultural > Sweden', 'Fiction']",274790,31775,4.26,"{'5 Stars': 133219, '4 Stars': 96176, '3 Stars': 33092, '2 Stars': 8482, '1 Star': 3821}"
22318578,22318578,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Magic Cleaning #1,/series/197603-magic-cleaning,0091955106,9780091955106,2011,Marie Kondō,213,"['Nonfiction', 'Self Help', 'Audiobook', 'Self Help > Personal Development', 'Psychology', 'Cultural > Japan', 'Productivity', 'Reference', 'Adult', 'How To']",320295,30089,3.86,"{'5 Stars': 102757, '4 Stars': 109822, '3 Stars': 76031, '2 Stars': 22980, '1 Star': 8705}"
13623150,13623150,Destroy Me,Shatter Me #1.5,/series/65730-shatter-me,9020679635,9789020679632,,Tahereh Mafi,111,"['Young Adult', 'Science Fiction > Dystopia', 'Fantasy', 'Romance', 'Novella', 'Fantasy > Paranormal', 'Science Fiction', 'Short Stories', 'Fiction', 'Young Adult > Young Adult Fantasy']",95794,9268,4.16,"{'5 Stars': 42228, '4 Stars': 32476, '3 Stars': 16589, '2 Stars': 3486, '1 Star': 1015}"
22571552,22571552,So You've Been Publicly Shamed,,,1594634017,9781594634017,2015,Jon Ronson,290,"['Nonfiction', 'Psychology', 'Sociology', 'Audiobook', 'Writing > Journalism', 'Adult', 'Science > Technology', 'Humor', 'Science', 'Cultural']",57350,5844,3.93,"{'5 Stars': 15556, '4 Stars': 26189, '3 Stars': 12366, '2 Stars': 2333, '1 Star': 906}"
32283133,32283133,Origin,Robert Langdon #5,/series/92467-robert-langdon,0593078756,9780593078754,,Dan Brown,456,"['Fiction', 'Thriller', 'Mystery', 'Thriller > Mystery Thriller', 'Audiobook', 'Suspense', 'Adventure', 'Novels', 'Mystery > Crime', 'Science Fiction']",290568,25786,3.87,"{'5 Stars': 85648, '4 Stars': 109892, '3 Stars': 72576, '2 Stars': 17540, '1 Star': 4912}"
32979,32979,The Secret of the Old Clock,Nancy Drew Mystery Stories #1,/series/40642-nancy-drew-mystery-stories,0448095017,9780448095707,1930,Carolyn Keene,210,"['Mystery', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Childrens > Middle Grade', 'Thriller > Mystery Thriller', 'Childrens > Juvenile', 'Adventure', 'Mystery > Crime']",72251,4106,3.98,"{'5 Stars': 26017, '4 Stars': 24042, '3 Stars': 17833, '2 Stars': 3281, '1 Star': 1078}"
25372801,25372801,All the Birds in the Sky,All the Birds in the Sky #1,/series/218076-all-the-birds-in-the-sky,1785650556,9781785650550,,Charlie Jane Anders,313,"['Fantasy', 'Science Fiction', 'Fiction', 'Magical Realism', 'Fantasy > Magic', 'Fantasy > Urban Fantasy', 'Science Fiction Fantasy', 'Adult', 'Romance', 'Speculative Fiction']",42837,6562,3.6,"{'5 Stars': 8826, '4 Stars': 15923, '3 Stars': 11938, '2 Stars': 4469, '1 Star': 1681}"
