id,rating,started_at,read_at,book.id.#text,book.isbn13.@nil,book.text_reviews_count.#text,book.num_pages,book.publication_year,book.average_rating,book.ratings_count,user_id,book.isbn13
4467811851,4,Tue Jan 11 00:00:00 -0800 2022,Tue Jan 11 15:59:34 -0800 2022,48617752,true,773,24,2019,4.01,16990,4622890,
4466676121,3,,,6670,,1366,67,2001,3.69,35656,4622890,
4419812547,2,Tue Jan 11 00:00:00 -0800 2022,Thu Jan 13 00:00:00 -0800 2022,57933338,,234,336,2022,4.14,416,4622890,
4388459254,2,Sat Dec 11 00:00:00 -0800 2021,Tue Dec 14 15:43:32 -0800 2021,32571395,true,30830,360,,4.03,448958,4622890,
4386945569,4,Fri Nov 26 00:00:00 -0800 2021,Mon Dec 13 15:46:34 -0800 2021,44453032,,41,384,2021,4.24,123,4622890,
4368082300,4,Thu Dec 02 00:00:00 -0800 2021,Fri Dec 03 00:00:00 -0800 2021,56733508,,101,208,2021,4.36,386,4622890,
4363320198,4,Sat Dec 04 00:00:00 -0800 2021,Thu Dec 09 00:00:00 -0800 2021,55533831,true,846,449,,3.97,4814,4622890,
4353009437,4,Wed Nov 24 00:00:00 -0800 2021,Mon Nov 29 15:46:50 -0800 2021,49090884,,4370,211,2020,3.92,28200,4622890,
4340676383,4,Tue Nov 16 00:00:00 -0800 2021,Fri Nov 19 00:00:00 -0800 2021,54493401,,20408,476,2021,4.53,185396,4622890,
4329280314,4,Tue Dec 28 00:00:00 -0800 2021,Wed Dec 29 14:43:39 -0800 2021,36671975,,22,216,2017,4.13,3680,4622890,
4329173314,3,Sat Jan 01 00:00:00 -0800 2022,Tue Jan 04 00:00:00 -0800 2022,58505877,,22,448,2022,3.85,54,4622890,
4305382056,5,Thu Nov 04 00:00:00 -0700 2021,Sun Nov 07 00:00:00 -0700 2021,55818239,,95,400,2022,4.64,145,4622890,
4294515155,4,Sat Oct 16 00:00:00 -0700 2021,Sat Oct 16 00:00:00 -0700 2021,9243302,,95,83,2011,4.08,12452,4622890,
4279357846,0,Wed Oct 06 00:00:00 -0700 2021,Fri Oct 08 00:00:00 -0700 2021,34921573,,2236,322,2018,4.26,25057,4622890,
4249780769,4,Tue Sep 21 00:00:00 -0700 2021,Wed Sep 22 16:55:29 -0700 2021,58210340,,173,416,2022,4.29,402,4622890,
4242871183,3,Wed Sep 29 00:00:00 -0700 2021,Wed Sep 29 00:00:00 -0700 2021,58321103,,147,320,2022,4.10,661,4622890,
4242870937,3,Sun Oct 24 00:00:00 -0700 2021,Mon Oct 25 00:00:00 -0700 2021,57701764,,3513,310,2021,4.13,30326,4622890,
4242534686,0,Mon Oct 18 00:00:00 -0700 2021,Thu Oct 21 01:40:24 -0700 2021,49296231,,215,328,2021,3.88,1014,4622890,
